place_name,menu_name,menu_price
한끼마끼 숙대점,유부베이직세트,-
한끼마끼 숙대점,내맘대로초이스세트,-
한끼마끼 숙대점,생연어유부초밥,-
한끼마끼 숙대점,우니이쿠라유부초밥,-
한끼마끼 숙대점,해초샐러드유부초밥,-
한끼마끼 숙대점,허브딜치킨유부초밥,-
한끼마끼 숙대점,그릴드관자유부초밥,-
한끼마끼 숙대점,낙지탕탕유부초밥,-
샐러디 숙명여대점,로스트닭다리살 샐러드,-
샐러디 숙명여대점,칠리베이컨 포케볼,-
샐러디 숙명여대점,멕시칸 랩 샌드위치,-
샐러디 숙명여대점,에그베이컨 샌드,-
샐러디 숙명여대점,바베큐닭다리살 샌드,-
샐러디 숙명여대점,그라브락스 연어 포케볼,-
샐러디 숙명여대점,로스트삼겹 포케볼,-
샐러디 숙명여대점,탄단지 샐러드,-
샐러디 숙명여대점,콥 샐러드,-
샐러디 숙명여대점,로스트닭다리살 샐러드,-
샐러디 숙명여대점,그라브락스 연어 샐러드,-
샐러디 숙명여대점,노릇두부단호박 샐러드,-
샐러디 숙명여대점,그라브락스 연어 파스타 누들볼,-
샐러디 숙명여대점,우삼겹메밀면 누들볼,-
샐러디 숙명여대점,갈빗살메밀면 누들볼,-
샐러디 숙명여대점,칠리베이컨 포케볼,-
샐러디 숙명여대점,우삼겹 포케볼,-
샐러디 숙명여대점,노릇노릇두부 포케볼,-
샐러디 숙명여대점,바베큐닭다리살 포케볼,-
샐러디 숙명여대점,더블 닭다리살 박스(도시락),-
샐러디 숙명여대점,더블 치킨 파스타 박스(도시락),-
샐러디 숙명여대점,더블 비프 박스(도시락),-
샐러디 숙명여대점,더블 삼겹 박스(도시락),-
샐러디 숙명여대점,에그마요 샌드,-
샐러디 숙명여대점,치킨토마토 샌드,-
샐러디 숙명여대점,에그베이컨 샌드,-
샐러디 숙명여대점,바베큐닭다리살 샌드,-
샐러디 숙명여대점,에그마요 랩 샌드위치,-
샐러디 숙명여대점,멕시칸 랩 샌드위치,-
샐러디 숙명여대점,시저치킨 랩 샌드위치,-
샐러디 숙명여대점,그라브락스 연어 랩 샌드위치,-
샐러디 숙명여대점,로스트닭다리살 랩 샌드위치,-
샐러디 숙명여대점,마이 샐러디(채소볼),-
샐러디 숙명여대점,마이 샐러디(포케볼),-
샐러디 숙명여대점,마이 샐러디(메밀면볼),-
샐러디 숙명여대점,마이 샐러디(바질파스타볼),-
샐러디 숙명여대점,양송이 크림스프,-
샐러디 숙명여대점,단호박 크림스프,-
샐러디 숙명여대점,치킨토마토 스튜,-
샐러디 숙명여대점,포테이토 크림스프,-
샐러디 숙명여대점,티키타카 캐모마일피치(제로 스파클링 음료) 340ml,-
샐러디 숙명여대점,아메리카노,-
샐러디 숙명여대점,코크제로 355ml,-
샐러디 숙명여대점,스프라이트제로 355ml,-
샐러디 숙명여대점,환타제로 오렌지,-
키토리,1인 세트(김밥 선택),-
키토리,키토리 김밥,-
키토리,야채 듬뿍 샐러드 키토김밥,-
키토리,와사비마요 참치 키토김밥,-
키토리,새우튀김 키토김밥,-
키토리,수제닭강정M,-
키토리,수제닭강정L,-
마시앤바시,백김치 크림 파스타,-
마시앤바시,시금치 크림 파스타,-
마시앤바시,차이나치킨,-
또와또 본점,또와떡불,-
또와또 본점,버섯떡불,-
또와또 본점,해물떡불,-
또와또 본점,모듬떡불,-
또와또 본점,야채즉석떡볶이,-
또와또 본점,치즈즉석떡볶이,-
또와또 본점,불고기즉석떡볶이,-
또와또 본점,해물즉석떡볶이,-
또와또 본점,모듬즉석떡볶이,-
또와또 본점,모듬스페셜즉석떡볶이,-
또와또 본점,사리,-
또와또 본점,수제김말이,-
